iter,loss
0,1.084105
1,0.188136
2,0.181034
3,0.174713
4,0.168989
5,0.163746
6,0.158904
7,0.154410
8,0.150224
9,0.146315
10,0.142660
11,0.139239
12,0.136035
13,0.133032
14,0.130217
15,0.127576
16,0.125097
17,0.122768
18,0.120578
19,0.118516
20,0.116573
21,0.114739
22,0.113006
23,0.111366
24,0.109811
25,0.108335
26,0.106932
27,0.105596
28,0.104322
29,0.103106
30,0.101943
31,0.100829
32,0.099761
33,0.098735
34,0.097750
35,0.096801
36,0.095887
37,0.095005
38,0.094153
39,0.093330
40,0.092534
41,0.091763
42,0.091015
43,0.090289
44,0.089585
45,0.088900
46,0.088234
47,0.087586
48,0.086955
49,0.086339
50,0.085739
51,0.085153
52,0.084581
53,0.084022
54,0.083475
55,0.082940
56,0.082416
57,0.081903
58,0.081401
59,0.080908
60,0.080425
61,0.079951
62,0.079486
63,0.079029
64,0.078580
65,0.078139
66,0.077705
67,0.077279
68,0.076859
69,0.076446
70,0.076040
71,0.075639
72,0.075245
73,0.074856
74,0.074474
75,0.074096
76,0.073724
77,0.073357
78,0.072995
79,0.072637
80,0.072285
81,0.071937
82,0.071593
83,0.071253
84,0.070918
85,0.070587
86,0.070260
87,0.069936
88,0.069616
89,0.069300
90,0.068988
91,0.068679
92,0.068373
93,0.068071
94,0.067772
95,0.067476
96,0.067183
97,0.066893
98,0.066606
99,0.066322
100,0.066041
101,0.065762
102,0.065486
103,0.065213
104,0.064943
105,0.064675
106,0.064410
107,0.064147
108,0.063886
109,0.063628
110,0.063372
111,0.063119
112,0.062867
113,0.062618
114,0.062371
115,0.062127
116,0.061884
117,0.061643
118,0.061405
119,0.061168
120,0.060933
121,0.060701
122,0.060470
123,0.060241
124,0.060014
125,0.059789
126,0.059565
127,0.059343
128,0.059123
129,0.058905
130,0.058689
131,0.058474
132,0.058261
133,0.058049
134,0.057839
135,0.057631
136,0.057424
137,0.057218
138,0.057015
139,0.056812
140,0.056612
141,0.056412
142,0.056214
143,0.056018
144,0.055823
145,0.055629
146,0.055437
147,0.055246
148,0.055056
149,0.054868
150,0.054681
151,0.054495
152,0.054311
153,0.054128
154,0.053946
155,0.053766
156,0.053586
157,0.053408
158,0.053231
159,0.053055
160,0.052881
161,0.052708
162,0.052535
163,0.052364
164,0.052194
165,0.052025
166,0.051858
167,0.051691
168,0.051525
169,0.051361
170,0.051197
171,0.051035
172,0.050874
173,0.050713
174,0.050554
175,0.050396
176,0.050239
177,0.050082
178,0.049927
179,0.049773
180,0.049619
181,0.049467
182,0.049316
183,0.049165
184,0.049016
185,0.048867
186,0.048719
187,0.048572
188,0.048426
189,0.048281
190,0.048137
191,0.047994
192,0.047851
193,0.047710
194,0.047569
195,0.047429
196,0.047290
197,0.047152
198,0.047015
199,0.046878
200,0.046742
201,0.046608
202,0.046473
203,0.046340
204,0.046207
205,0.046076
206,0.045945
207,0.045814
208,0.045685
209,0.045556
210,0.045428
211,0.045301
212,0.045174
213,0.045048
214,0.044923
215,0.044799
216,0.044675
217,0.044552
218,0.044430
219,0.044308
220,0.044187
221,0.044067
222,0.043948
223,0.043829
224,0.043711
225,0.043593
226,0.043476
227,0.043360
228,0.043244
229,0.043129
230,0.043015
231,0.042901
232,0.042788
233,0.042676
234,0.042564
235,0.042453
236,0.042342
237,0.042232
238,0.042123
239,0.042014
240,0.041906
241,0.041798
242,0.041691
243,0.041585
244,0.041479
245,0.041373
246,0.041269
247,0.041164
248,0.041061
249,0.040958
250,0.040855
251,0.040753
252,0.040652
253,0.040551
254,0.040450
255,0.040350
256,0.040251
257,0.040152
258,0.040054
259,0.039956
260,0.039859
261,0.039762
262,0.039666
263,0.039570
264,0.039475
265,0.039380
266,0.039285
267,0.039192
268,0.039098
269,0.039005
270,0.038913
271,0.038821
272,0.038730
273,0.038639
274,0.038548
275,0.038458
276,0.038368
277,0.038279
278,0.038191
279,0.038102
280,0.038014
281,0.037927
282,0.037840
283,0.037754
284,0.037668
285,0.037582
286,0.037497
287,0.037412
288,0.037327
289,0.037243
290,0.037160
291,0.037077
292,0.036994
293,0.036912
294,0.036830
295,0.036748
296,0.036667
297,0.036586
298,0.036506
299,0.036426
300,0.036347
301,0.036267
302,0.036189
303,0.036110
304,0.036032
305,0.035955
306,0.035877
307,0.035800
308,0.035724
309,0.035648
310,0.035572
311,0.035496
312,0.035421
313,0.035347
314,0.035272
315,0.035198
316,0.035124
317,0.035051
318,0.034978
319,0.034905
320,0.034833
321,0.034761
322,0.034690
323,0.034618
324,0.034547
325,0.034477
326,0.034406
327,0.034336
328,0.034267
329,0.034197
330,0.034128
331,0.034060
332,0.033991
333,0.033923
334,0.033855
335,0.033788
336,0.033721
337,0.033654
338,0.033587
339,0.033521
340,0.033455
341,0.033390
342,0.033324
343,0.033259
344,0.033195
345,0.033130
346,0.033066
347,0.033002
348,0.032939
349,0.032875
350,0.032812
351,0.032750
352,0.032687
353,0.032625
354,0.032563
355,0.032501
356,0.032440
357,0.032379
358,0.032318
359,0.032258
360,0.032197
361,0.032137
362,0.032078
363,0.032018
364,0.031959
365,0.031900
366,0.031841
367,0.031783
368,0.031724
369,0.031667
370,0.031609
371,0.031551
372,0.031494
373,0.031437
374,0.031381
375,0.031324
376,0.031268
377,0.031212
378,0.031156
379,0.031101
380,0.031045
381,0.030990
382,0.030936
383,0.030881
384,0.030827
385,0.030773
386,0.030719
387,0.030665
388,0.030612
389,0.030558
390,0.030505
391,0.030453
392,0.030400
393,0.030348
394,0.030296
395,0.030244
396,0.030192
397,0.030141
398,0.030090
399,0.030039
400,0.029988
401,0.029937
402,0.029887
403,0.029837
404,0.029787
405,0.029737
406,0.029687
407,0.029638
408,0.029589
409,0.029540
410,0.029491
411,0.029443
412,0.029394
413,0.029346
414,0.029298
415,0.029250
416,0.029203
417,0.029155
418,0.029108
419,0.029061
420,0.029014
421,0.028968
422,0.028921
423,0.028875
424,0.028829
425,0.028783
426,0.028737
427,0.028692
428,0.028647
429,0.028601
430,0.028556
431,0.028512
432,0.028467
433,0.028423
434,0.028378
435,0.028334
436,0.028290
437,0.028247
438,0.028203
439,0.028160
440,0.028116
441,0.028073
442,0.028030
443,0.027988
444,0.027945
445,0.027903
446,0.027861
